days, time_start, time_end, lecture_hours, total_hours, days2, time_start2, time_end2, lecture_hours2, total_hours2
TR, 5:00PM, 7:00PM, 2, 2,,,,,
TR, 6:00PM, 8:00PM, 2, 2,,,,,
TR, 7:00PM, 9:00PM, 2, 2,,,,,
TR, 8:00PM, 10:00PM, 2, 2,,,,,
MW, 7:00AM, 9:00AM, 1, 2,,,,,
MW, 8:00AM, 10:00AM, 1, 2,,,,,
MW, 9:00AM, 11:00AM, 1, 2,,,,,
MW, 10:00AM, 12:00PM, 1, 2,,,,,
MW, 11:00AM, 1:00PM, 1, 2,,,,,
MW, 12:00PM, 2:00PM, 1, 2,,,,,
MW, 1:00PM, 3:00PM, 1, 2,,,,,
MW, 2:00PM, 4:00PM, 1, 2,,,,,
MW, 3:00PM, 5:00PM, 1, 2,,,,,
MW, 4:00PM, 6:00PM, 1, 2,,,,,
MW, 5:00PM, 7:00PM, 1, 2,,,,,
MW, 6:00PM, 8:00PM, 1, 2,,,,,
MW, 7:00PM, 9:00PM, 1, 2,,,,,
WF, 7:00AM, 9:00AM, 1, 2,,,,,
WF, 8:00AM, 10:00AM, 1, 2,,,,,
WF, 9:00AM, 11:00AM, 1, 2,,,,,
WF, 10:00AM, 12:00PM, 1, 2,,,,,
WF, 11:00AM, 1:00PM, 1, 2,,,,,
WF, 12:00PM, 2:00PM, 1, 2,,,,,
WF, 1:00PM, 3:00PM, 1, 2,,,,,
WF, 2:00PM, 4:00PM, 1, 2,,,,,
WF, 3:00PM, 5:00PM, 1, 2,,,,,
WF, 4:00PM, 6:00PM, 1, 2,,,,,
WF, 5:00PM, 7:00PM, 1, 2,,,,,
WF, 6:00PM, 8:00PM, 1, 2,,,,,
WF, 7:00PM, 9:00PM, 1, 2,,,,,
TR, 7:00AM, 9:00AM, 1, 2,,,,,
TR, 8:00AM, 10:00AM, 1, 2,,,,,
TR, 9:00AM, 11:00AM, 1, 2,,,,,
TR, 10:00AM, 12:00PM, 1, 2,,,,,
TR, 11:00AM, 1:00PM, 1, 2,,,,,
TR, 12:00PM, 2:00PM, 1, 2,,,,,
TR, 1:00PM, 3:00PM, 1, 2,,,,,
TR, 2:00PM, 4:00PM, 1, 2,,,,,
TR, 3:00PM, 5:00PM, 1, 2,,,,,
TR, 4:00PM, 6:00PM, 1, 2,,,,,
TR, 5:00PM, 7:00PM, 1, 2,,,,,
TR, 6:00PM, 8:00PM, 1, 2,,,,,
TR, 7:00PM, 9:00PM, 1, 2,,,,,


FOR CPE
-------------------------------------------------------------------------------
days, time_start, time_end, lecture_hours, total_hours, days2, time_start2, time_end2, lecture_hours2, total_hours2
MWF, 7:00AM, 9:00AM, 1, 2,,,,,
MWF, 8:00AM, 10:00AM, 1, 2,,,,,
MWF, 9:00AM, 11:00AM, 1, 2,,,,,
MWF, 10:00AM, 12:00PM, 1, 2,,,,,
MWF, 11:00AM, 1:00PM, 1, 2,,,,,
MWF, 12:00PM, 2:00PM, 1, 2,,,,,
MWF, 1:00PM, 3:00PM, 1, 2,,,,,
MWF, 2:00PM, 4:00PM, 1, 2,,,,,
MWF, 3:00PM, 5:00PM, 1, 2,,,,,
MWF, 4:00PM, 6:00PM, 1, 2,,,,,
MWF, 5:00PM, 7:00PM, 1, 2,,,,,
MWF, 6:00PM, 8:00PM, 1, 2,,,,,
MWF, 7:00PM, 9:00PM, 1, 2,,,,,
TR, 8:00AM, 11:00AM, 1.5, 3,,,,,
TR, 12:00PM, 3:00PM, 1.5, 3,,,,,
TR, 1:30PM, 4:30PM, 1.5, 3,,,,,
TR, 3:00PM, 6:00PM, 1.5, 3,,,,,
TR, 4:00PM, 7:00PM, 1.5, 3,,,,,
TR, 4:30PM, 7:30PM, 1.5, 3,,,,,
TR, 5:00PM, 8:00PM, 1.5, 3,,,,,
TR, 5:30PM, 8:30PM, 1.5, 3,,,,,
TR, 6:00PM, 9:00PM, 1.5, 3,,,,,
MTWR, 7:00AM, 8:00AM, 1, 1,,,,,
MTWR, 8:00AM, 9:00AM, 1, 1,,,,,
MTWR, 9:00AM, 10:00AM, 1, 1,,,,,
MTWR, 10:00AM, 11:00AM, 1, 1,,,,,
MTWR, 11:00AM, 12:00PM, 1, 1,,,,,
MTWR, 12:00PM, 1:00PM, 1, 1,,,,,
MTWR, 1:00PM, 2:00PM, 1, 1,,,,,
MTWR, 2:00PM, 3:00PM, 1, 1,,,,,
MTWR, 3:00PM, 4:00PM, 1, 1,,,,,
MWF, 7:00AM, 8:00AM, 1, 1, F, 8:00AM, 11:00AM, 3, 3
MWF, 7:00AM, 8:00AM, 1, 1, W, 8:00AM, 11:00AM, 3, 3
MWF, 7:00AM, 8:00AM, 1, 1, M, 8:00AM, 11:00AM, 3, 3
MWF, 7:00AM, 8:00AM, 1, 1, F, 8:00AM, 10:00AM, 2, 2
MWF, 7:00AM, 8:00AM, 1, 1, W, 8:00AM, 10:00AM, 2, 2
MWF, 7:00AM, 8:00AM, 1, 1, M, 8:00AM, 10:00AM, 2, 2
MWF, 8:00AM, 9:00AM, 1, 1, M, 9:00AM, 12:00PM, 3, 3
MWF, 8:00AM, 9:00AM, 1, 1, W, 9:00AM, 12:00PM, 3, 3
MWF, 8:00AM, 9:00AM, 1, 1, F, 9:00AM, 12:00PM, 3, 3
MWF, 9:00AM, 10:00AM, 1, 1, W, 10:00AM, 1:00PM, 3, 3
MWF, 10:00AM, 11:00AM, 1, 1, W, 11:00AM, 2:00PM, 3, 3
MWF, 10:00AM, 11:00AM, 1, 1, W, 11:00AM, 1:00PM, 2, 2
MWF, 10:00AM, 11:00AM, 1, 1, M, 11:00AM, 2:00PM, 3, 3
MWF, 10:00AM, 11:00AM, 1, 1, F, 11:00AM, 2:00PM, 3, 3
MWF, 11:00AM, 12:00PM, 1, 1, W, 12:00PM, 3:00PM, 3, 3
MWF, 12:00PM, 1:00PM, 1, 1, F, 1:00PM, 4:00PM, 3, 3
MWF, 1:00PM, 2:00PM, 1, 1, F, 2:00PM, 5:00PM, 3, 3
MWF, 1:00PM, 2:00PM, 1, 1, W, 2:00PM, 5:00PM, 3, 3
MWF, 1:00PM, 2:00PM, 1, 1, M, 2:00PM, 5:00PM, 3, 3
MWF, 2:00PM, 3:00PM, 1, 1, M, 3:00PM, 6:00PM, 3, 3
MWF, 3:00PM, 4:00PM, 1, 1, M, 4:00PM, 7:00PM, 3, 3
MWF, 4:00PM, 5:00PM, 1, 1, W, 5:00PM, 8:00PM, 3, 3
MWF, 5:00PM, 6:00PM, 1, 1, F, 6:00PM, 9:00PM, 3, 3
MWF, 6:00PM, 7:00PM, 1, 1, F, 7:00PM, 10:00PM, 3, 3
TR, 8:00AM, 9:30AM, 1.5, 1.5, T, 9:30AM, 11:30AM, 2, 2
TR, 12:00PM, 1:30PM, 1.5, 1.5, T, 1:30PM, 3:30PM, 2, 2
TR, 1:30PM, 3:00PM, 1.5, 1.5, T, 3:00PM, 5:00PM, 2, 2
TR, 3:00PM, 4:30PM, 1.5, 1.5, T, 4:30PM, 6:30PM, 2, 2
TR, 4:00PM, 5:30PM, 1.5, 1.5, T, 5:30PM, 7:30PM, 2, 2
TR, 4:30PM, 6:00PM, 1.5, 1.5, T, 6:00PM, 8:00PM, 2, 2
TR, 5:00PM, 6:30PM, 1.5, 1.5, T, 6:30PM, 8:30PM, 2, 2
TR, 5:30PM, 7:00PM, 1.5, 1.5, T, 7:00PM, 9:00PM, 2, 2
TR, 6:00PM, 7:30PM, 1.5, 1.5, T, 7:30PM, 9:30PM, 2, 2
TR, 8:00AM, 9:30AM, 1.5, 1.5, T, 9:30AM, 12:30PM, 3, 3
TR, 12:00PM, 1:30PM, 1.5, 1.5, T, 1:30PM, 4:30PM, 3, 3
TR, 1:30PM, 3:00PM, 1.5, 1.5, T, 3:00PM, 6:00PM, 3, 3
TR, 3:00PM, 4:30PM, 1.5, 1.5, T, 4:30PM, 7:30PM, 3, 3
TR, 4:00PM, 5:30PM, 1.5, 1.5, T, 5:30PM, 8:30PM, 3, 3
TR, 4:30PM, 6:00PM, 1.5, 1.5, T, 6:00PM, 9:00PM, 3, 3
TR, 5:00PM, 6:30PM, 1.5, 1.5, T, 6:30PM, 9:30PM, 3, 3
TR, 5:30PM, 7:00PM, 1.5, 1.5, T, 7:00PM, 10:00PM, 3, 3
TR, 6:00PM, 7:30PM, 1.5, 1.5, T, 7:30PM, 10:30PM, 3, 3
M, 7:00AM, 8:00AM, 1, 1, M, 8:00AM, 2:00PM, 6, 6
M, 8:00AM, 9:00AM, 1, 1, M, 9:00AM, 3:00PM, 6, 6
M, 9:00AM, 10:00AM, 1, 1, M, 10:00AM, 4:00PM, 6, 6
M, 10:00AM, 11:00AM, 1, 1, M, 11:00AM, 5:00PM, 6, 6
TR, 8:00AM, 9:30AM, 1.5, 1.5, R, 2:00PM, 5:00PM, 3, 3
TR, 9:30AM, 11:00AM, 1.5, 1.5, T, 2:00PM, 5:00PM, 3, 3
