data403	0-1-0
data441	0-2-0
data442	0-2-0
data451	0-2-0
data452	0-2-0
data472	1-0-0
phys305	4-0-0
phys306	3-0-0
phys310	3-0-0
phys313	3-0-0
phys318	3-0-0
phys403	3-0-0
phys405	4-0-0
phys406	3-0-0
phys408	4-0-0
phys409	3-0-0
phys423	3-1-0
phys425	3-0-0
phys426	0-1-0
phys428	3-1-0
mu311	3-0-1
mu312	3-0-1
mu411	3-0-1
me302	3-0-0
me405	3-1-0
me415	4-0-0
math304	4-0-0
math306	4-0-0
math406	4-0-0
math410	4-0-0
math411	4-0-0
math412	4-0-0
math413	4-0-0
math451	4-0-0
math452	4-0-0
math453	4-0-0
mate340	3-1-0
ime301	3-0-1
ime303	3-1-0
ime305	3-0-1
ime319	3-0-0
ime401	2-0-0
ime435	3-0-0
ime457	2-2-0
enve331	4-0-0
econ330	4-0-0
econ337	4-0-0
chem313	4-1-0
bus311	4-0-0
bmed420	3-1-0
bmed425	3-1-0
bmed430	1-1-0
bmed440	3-1-0
bmed445	2-2-0
cpe345	3-0-1
