days, time_start, time_end, lecture_hours, total_hours, days2, time_start2, time_end2, lecture_hours2, total_hours2
M, 11:00AM, 12:00PM, 1, 1,,,,,
M, 12:00PM, 1:00PM, 1, 1,,,,,
M, 1:00PM, 2:00PM, 1, 1,,,,,
M, 2:00PM, 3:00PM, 1, 1,,,,,
M, 3:00PM, 4:00PM, 1, 1,,,,,
M, 4:00PM, 5:00PM, 1, 1,,,,,
M, 5:00PM, 6:00PM, 1, 1,,,,,
M, 6:00PM, 7:00PM, 1, 1,,,,,
T, 8:00AM, 9:00AM, 1, 1,,,,,
T, 9:00AM, 10:00AM, 1, 1,,,,,
T, 10:00AM, 11:00AM, 1, 1,,,,,
T, 11:00AM, 12:00PM, 1, 1,,,,,
T, 12:00PM, 1:00PM, 1, 1,,,,,
T, 1:00PM, 2:00PM, 1, 1,,,,,
T, 2:00PM, 3:00PM, 1, 1,,,,,
T, 3:00PM, 4:00PM, 1, 1,,,,,
T, 4:00PM, 5:00PM, 1, 1,,,,,
T, 5:00PM, 6:00PM, 1, 1,,,,,
T, 6:00PM, 7:00PM, 1, 1,,,,,
W, 8:00AM, 9:00AM, 1, 1,,,,,
W, 9:00AM, 10:00AM, 1, 1,,,,,
W, 10:00AM, 11:00AM, 1, 1,,,,,
W, 11:00AM, 12:00PM, 1, 1,,,,,
W, 12:00PM, 1:00PM, 1, 1,,,,,
W, 1:00PM, 2:00PM, 1, 1,,,,,
W, 2:00PM, 3:00PM, 1, 1,,,,,
W, 3:00PM, 4:00PM, 1, 1,,,,,
W, 4:00PM, 5:00PM, 1, 1,,,,,
W, 5:00PM, 6:00PM, 1, 1,,,,,
W, 6:00PM, 7:00PM, 1, 1,,,,,
R, 8:00AM, 9:00AM, 1, 1,,,,,
R, 9:00AM, 10:00AM, 1, 1,,,,,
R, 10:00AM, 11:00AM, 1, 1,,,,,
R, 11:00AM, 12:00PM, 1, 1,,,,,
R, 12:00PM, 1:00PM, 1, 1,,,,,
R, 1:00PM, 2:00PM, 1, 1,,,,,
R, 2:00PM, 3:00PM, 1, 1,,,,,
R, 3:00PM, 4:00PM, 1, 1,,,,,
R, 4:00PM, 5:00PM, 1, 1,,,,,
R, 5:00PM, 6:00PM, 1, 1,,,,,
R, 6:00PM, 7:00PM, 1, 1,,,,,
F, 8:00AM, 9:00AM, 1, 1,,,,,
F, 9:00AM, 10:00AM, 1, 1,,,,,
F, 10:00AM, 11:00AM, 1, 1,,,,,
F, 11:00AM, 12:00PM, 1, 1,,,,,
F, 12:00PM, 1:00PM, 1, 1,,,,,
F, 1:00PM, 2:00PM, 1, 1,,,,,
F, 2:00PM, 3:00PM, 1, 1,,,,,
F, 3:00PM, 4:00PM, 1, 1,,,,,
F, 4:00PM, 5:00PM, 1, 1,,,,,
F, 5:00PM, 6:00PM, 1, 1,,,,,
F, 6:00PM, 7:00PM, 1, 1,,,,,
M, 8:00AM, 2:00PM, 6, 6,,,,,
M, 9:00AM, 3:00PM, 6, 6,,,,,
M, 10:00AM, 4:00PM, 6, 6,,,,,
M, 11:00AM, 5:00PM, 6, 6,,,,,
M, 12:00PM, 6:00PM, 6, 6,,,,,
M, 1:00PM, 7:00PM, 6, 6,,,,,
T, 8:00AM, 2:00PM, 6, 6,,,,,
T, 9:00AM, 3:00PM, 6, 6,,,,,
T, 10:00AM, 4:00PM, 6, 6,,,,,
T, 11:00AM, 5:00PM, 6, 6,,,,,
T, 12:00PM, 6:00PM, 6, 6,,,,,
T, 1:00PM, 7:00PM, 6, 6,,,,,
W, 8:00AM, 2:00PM, 6, 6,,,,,
W, 9:00AM, 3:00PM, 6, 6,,,,,
W, 10:00AM, 4:00PM, 6, 6,,,,,
W, 11:00AM, 5:00PM, 6, 6,,,,,
W, 12:00PM, 6:00PM, 6, 6,,,,,
W, 1:00PM, 7:00PM, 6, 6,,,,,
R, 8:00AM, 2:00PM, 6, 6,,,,,
R, 9:00AM, 3:00PM, 6, 6,,,,,
R, 10:00AM, 4:00PM, 6, 6,,,,,
R, 11:00AM, 5:00PM, 6, 6,,,,,
R, 12:00PM, 6:00PM, 6, 6,,,,,
R, 1:00PM, 7:00PM, 6, 6,,,,,
F, 8:00AM, 2:00PM, 6, 6,,,,,
F, 9:00AM, 3:00PM, 6, 6,,,,,
F, 10:00AM, 4:00PM, 6, 6,,,,,
F, 11:00AM, 5:00PM, 6, 6,,,,,
F, 12:00PM, 6:00PM, 6, 6,,,,,
F, 1:00PM, 7:00PM, 6, 6,,,,,
