days, time_start, time_end, lecture_hours, total_hours, lab_days, lab_start, lab_end, lab_hours
WF, 2:00PM, 3:00PM, 1, 1, WF, 3:00PM, 4:00PM, 1
WF, 3:00PM, 4:00PM, 1, 1, WF, 4:00PM, 5:00PM, 1
WF, 4:00PM, 5:00PM, 1, 1, WF, 5:00PM, 6:00PM, 1
WF, 5:00PM, 6:00PM, 1, 1, WF, 6:00PM, 7:00PM, 1
WF, 6:00PM, 7:00PM, 1, 1, WF, 7:00PM, 8:00PM, 1
WF, 7:00PM, 8:00PM, 1, 1, WF, 8:00PM, 9:00PM, 1
MW, 7:30AM, 9:00AM, 1.5, 1.5, MW, 9:00AM, 10:30AM, 1.5
MW, 9:00AM, 10:30AM, 1.5, 1.5, MW, 10:30AM, 12:00PM, 1.5
MW, 10:30AM, 12:00PM, 1.5, 1.5, MW, 12:00PM, 1:30PM, 1.5
MW, 12:00PM, 1:30PM, 1.5, 1.5, MW, 1:30PM, 3:00PM, 1.5
MW, 1:30PM, 3:00PM, 1.5, 1.5, MW, 3:00PM, 4:30PM, 1.5
MW, 3:00PM, 4:30PM, 1.5, 1.5, MW, 4:30PM, 6:00PM, 1.5
MW, 4:30PM, 6:00PM, 1.5, 1.5, MW, 6:00PM, 7:30PM, 1.5
MW, 6:00PM, 7:30PM, 1.5, 1.5, MW, 7:30PM, 9:00PM, 1.5
TR, 7:30AM, 9:00AM, 1.5, 1.5, TR, 9:00AM, 10:30AM, 1.5
TR, 9:00AM, 10:30AM, 1.5, 1.5, TR, 10:30AM, 12:00PM, 1.5
TR, 10:30AM, 12:00PM, 1.5, 1.5, TR, 12:00PM, 1:30PM, 1.5
TR, 12:00PM, 1:30PM, 1.5, 1.5, TR, 1:30PM, 3:00PM, 1.5
TR, 1:30PM, 3:00PM, 1.5, 1.5, TR, 3:00PM, 4:30PM, 1.5
TR, 3:00PM, 4:30PM, 1.5, 1.5, TR, 4:30PM, 6:00PM, 1.5
TR, 4:30PM, 6:00PM, 1.5, 1.5, TR, 6:00PM, 7:30PM, 1.5
TR, 6:00PM, 7:30PM, 1.5, 1.5, TR, 7:30PM, 9:00PM, 1.5
WF, 7:30AM, 9:00AM, 1.5, 1.5, WF, 9:00AM, 10:30AM, 1.5
WF, 9:00AM, 10:30AM, 1.5, 1.5, WF, 10:30AM, 12:00PM, 1.5
WF, 12:00PM, 1:30PM, 1.5, 1.5, WF, 1:30PM, 3:00PM, 1.5
WF, 1:30PM, 3:00PM, 1.5, 1.5, WF, 3:00PM, 4:30PM, 1.5
WF, 3:00PM, 4:30PM, 1.5, 1.5, WF, 4:30PM, 6:00PM, 1.5
WF, 4:30PM, 6:00PM, 1.5, 1.5, WF, 6:00PM, 7:30PM, 1.5
WF, 6:00PM, 7:30PM, 1.5, 1.5, WF, 7:30PM, 9:00PM, 1.5
F, 7:00AM, 8:00AM, 1, 1,,,,
F, 8:00AM, 9:00AM, 1, 1,,,,
F, 9:00AM, 10:00AM, 1, 1,,,,
F, 10:00AM, 11:00AM, 1, 1,,,,
F, 12:00PM, 1:00PM, 1, 1,,,,
F, 1:00PM, 2:00PM, 1, 1,,,,
F, 2:00PM, 3:00PM, 1, 1,,,,
F, 3:00PM, 4:00PM, 1, 1,,,,
F, 4:00PM, 5:00PM, 1, 1,,,,
F, 5:00PM, 6:00PM, 1, 1,,,,
F, 6:00PM, 7:00PM, 1, 1,,,,
F, 7:00PM, 8:00PM, 1, 1,,,,
F, 8:00PM, 9:00PM, 1, 1,,,,
R, 7:00AM, 8:00AM, 1, 1,,,,
R, 8:00AM, 9:00AM, 1, 1,,,,
R, 9:00AM, 10:00AM, 1, 1,,,,
R, 10:00AM, 11:00AM, 1, 1,,,,
R, 11:00AM, 12:00PM, 1, 1,,,,
R, 12:00PM, 1:00PM, 1, 1,,,,
R, 1:00PM, 2:00PM, 1, 1,,,,
R, 2:00PM, 3:00PM, 1, 1,,,,
R, 3:00PM, 4:00PM, 1, 1,,,,
R, 4:00PM, 5:00PM, 1, 1,,,,
R, 5:00PM, 6:00PM, 1, 1,,,,
R, 6:00PM, 7:00PM, 1, 1,,,,
R, 7:00PM, 8:00PM, 1, 1,,,,
R, 8:00PM, 9:00PM, 1, 1,,,,
MW, 8:00AM, 10:00AM, 2, 2,,,,
MW, 10:00AM, 12:00PM, 2, 2,,,,
MW, 12:00PM, 2:00PM, 2, 2,,,,
MW, 2:00PM, 4:00PM, 2, 2,,,,
MW, 4:00PM, 6:00PM, 2, 2,,,,
MW, 6:00PM, 8:00PM, 2, 2,,,,
WF, 8:00AM, 10:00AM, 2, 2,,,,
WF, 12:00PM, 2:00PM, 2, 2,,,,
WF, 2:00PM, 4:00PM, 2, 2,,,,
WF, 4:00PM, 6:00PM, 2, 2,,,,
WF, 6:00PM, 8:00PM, 2, 2,,,,
TR, 8:00AM, 10:00AM, 2, 2,,,,
TR, 10:00AM, 12:00PM, 2, 2,,,,
TR, 12:00PM, 2:00PM, 2, 2,,,,
TR, 2:00PM, 4:00PM, 2, 2,,,,
TR, 4:00PM, 6:00PM, 2, 2,,,,
TR, 6:00PM, 8:00PM, 2, 2,,,,
MW, 7:30AM, 9:00AM, 1.5, 1.5,,,,
MW, 9:00AM, 10:30AM, 1.5, 1.5,,,,
MW, 10:30AM, 12:00PM, 1.5, 1.5,,,,
MW, 12:00PM, 1:30PM, 1.5, 1.5,,,,
MW, 1:30PM, 3:00PM, 1.5, 1.5,,,,
MW, 3:00PM, 4:30PM, 1.5, 1.5,,,,
MW, 4:30PM, 6:00PM, 1.5, 1.5,,,,
MW, 6:00PM, 7:30PM, 1.5, 1.5,,,,
MW, 7:30PM, 9:00PM, 1.5, 1.5,,,,
WF, 7:30AM, 9:00AM, 1.5, 1.5,,,,
WF, 9:00AM, 10:30AM, 1.5, 1.5,,,,
WF, 12:00PM, 1:30PM, 1.5, 1.5,,,,
WF, 1:30PM, 3:00PM, 1.5, 1.5,,,,
WF, 3:00PM, 4:30PM, 1.5, 1.5,,,,
WF, 4:30PM, 6:00PM, 1.5, 1.5,,,,
WF, 6:00PM, 7:30PM, 1.5, 1.5,,,,
WF, 7:30PM, 9:00PM, 1.5, 1.5,,,,
TR, 7:30AM, 9:00AM, 1.5, 1.5,,,,
TR, 9:00AM, 10:30AM, 1.5, 1.5,,,,
TR, 10:30AM, 12:00PM, 1.5, 1.5,,,,
TR, 12:00PM, 1:30PM, 1.5, 1.5,,,,
TR, 1:30PM, 3:00PM, 1.5, 1.5,,,,
TR, 3:00PM, 4:30PM, 1.5, 1.5,,,,
TR, 4:30PM, 6:00PM, 1.5, 1.5,,,,
TR, 6:00PM, 7:30PM, 1.5, 1.5,,,,
TR, 7:30PM, 9:00PM, 1.5, 1.5,,,,
